L,M,target,targetFraction,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
1,256,234,0.9140625,0.00061379450115119571,114.11286480734482,114066,finite long-double observation
1,256,235,0.91796875,0.00040269868326016812,174.50238290136639,113430,finite long-double observation
1,256,236,0.921875,0.0003161814587234993,222.95474282891459,112788,finite long-double observation
1,256,237,0.92578125,0.00066286889830650627,106.67046044396332,112140,finite long-double observation
1,256,238,0.9296875,0.00070396301472450888,100.73662301091706,111486,finite long-double observation
1,256,239,0.93359375,0.00065707734077652413,108.2262037661049,110826,finite long-double observation
1,256,240,0.9375,0.00052709992523776992,135.27372300498578,110160,finite long-double observation
1,256,241,0.94140625,0.00052463581672070676,136.25462371759795,109488,finite long-double observation
1,256,242,0.9453125,0.00048842988783372166,146.70825050692127,108810,finite long-double observation
1,256,243,0.94921875,0.00063598536156907236,112.92796479812179,108126,finite long-double observation
1,256,244,0.953125,0.00052216696343122652,137.83985196857464,107436,finite long-double observation
1,256,245,0.95703125,0.00093259468756597922,77.333909503503918,106740,finite long-double observation
1,256,246,0.9609375,0.0010776917490606618,67.048584004096384,106038,finite long-double observation
1,256,247,0.96484375,0.00066830626093182771,108.31081869941764,105330,finite long-double observation
1,256,248,0.96875,0.00062034418293411338,116.87433390215186,104616,finite long-double observation
1,256,249,0.97265625,0.00081223366216642921,89.395570949925641,103896,finite long-double observation
1,256,250,0.9765625,0.0005174135735687231,140.52197090959913,103170,finite long-double observation
1,256,251,0.98046875,0.00072764555444347905,100.04294210820937,102438,finite long-double observation
1,256,252,0.984375,0.00079753865288963318,91.372889509881219,101700,finite long-double observation
1,256,253,0.98828125,0.00068312785231210138,106.77450736461662,100956,finite long-double observation
1,256,254,0.9921875,0.00092022146088670427,79.325822727067091,100206,finite long-double observation
1,256,255,0.99609375,0.00064169994728354416,113.82781088697355,99450,finite long-double observation
1,256,256,1,0.00072319694060104026,101.04910207382029,98688,finite long-double observation
4,64,1,0.015625,2.0966571927055136e-07,79.244948769069879,399300,finite long-double observation
4,64,2,0.03125,5.4598142679054306e-07,125.50708713838934,411204,finite long-double observation
4,64,3,0.046875,2.0906912566281958e-06,75.904757075776047,422724,finite long-double observation
4,64,4,0.0625,4.1278999533565077e-06,70.231533758233269,433860,finite long-double observation
4,64,5,0.078125,8.3929696724727071e-06,55.377202176289508,444612,finite long-double observation
4,64,6,0.09375,1.1219576579063589e-05,61.119395625901973,454980,finite long-double observation
4,64,7,0.109375,1.2802416929786716e-05,74.596910475642375,464964,finite long-double observation
4,64,8,0.125,1.1948507484333065e-05,106.68334250367582,474564,finite long-double observation
4,64,9,0.140625,1.2612487733814833e-05,130.55911340277584,483780,finite long-double observation
4,64,10,0.15625,2.4378728800807429e-05,85.017794739557203,492612,finite long-double observation
4,64,11,0.171875,2.7064658703220099e-05,94.369290971701986,501060,finite long-double observation
4,64,12,0.1875,3.7571768833950074e-05,82.304983693572268,509124,finite long-double observation
4,64,13,0.203125,2.9891612938946129e-05,123.39848191374718,516804,finite long-double observation
4,64,14,0.21875,3.5668178576068136e-05,121.78171136874585,524100,finite long-double observation
4,64,15,0.234375,5.42046779883288e-05,93.323348794121586,531012,finite long-double observation
4,64,16,0.25,5.6968238993160623e-05,102.40163802749919,537540,finite long-double observation
4,64,17,0.265625,5.0253529643333594e-05,132.71399792875431,543684,finite long-double observation
4,64,18,0.28125,5.3510271947448658e-05,141.39087631911238,549444,finite long-double observation
4,64,19,0.296875,9.2103063612829599e-05,92.539625744951934,554820,finite long-double observation
4,64,20,0.3125,0.00010321765335629219,92.436677278785709,559812,finite long-double observation
4,64,21,0.328125,8.5691449874312312e-05,123.92370778280565,564420,finite long-double observation
4,64,22,0.34375,9.8826100326263578e-05,118.96550099729193,568644,finite long-double observation
4,64,23,0.359375,0.00014572133026884726,88.891431419208857,572484,finite long-double observation
4,64,24,0.375,0.00018960008055068618,74.934788362087218,575940,finite long-double observation
4,64,25,0.390625,0.00013095238140121602,118.50478023331856,579012,finite long-double observation
4,64,26,0.40625,0.00015308607664834826,110.29410187294708,581700,finite long-double observation
4,64,27,0.421875,0.00013114322073248859,139.57298653649053,584004,finite long-double observation
4,64,28,0.4375,0.00018607574478444601,106.27575409604913,585924,finite long-double observation
4,64,29,0.453125,0.00016506118657450499,129.0208139251086,587460,finite long-double observation
