radiusOverOptimal,nearContribution,farContribution,totalBound
1.433012570237e-01,2.149518855355e-01,1.843422992409e+01,1.864918180963e+01
1.453784385608e-01,2.180676578411e-01,1.804055940092e+01,1.825862705876e+01
1.474857292764e-01,2.212285939146e-01,1.765529587285e+01,1.787652446677e+01
1.496235656094e-01,2.244353484142e-01,1.727825980508e+01,1.750269515349e+01
1.517923903249e-01,2.276885854874e-01,1.690927549681e+01,1.713696408230e+01
1.539926526059e-01,2.309889789089e-01,1.654817099943e+01,1.677915997834e+01
1.562248081465e-01,2.343372122198e-01,1.619477803636e+01,1.642911524858e+01
1.584893192461e-01,2.377339788692e-01,1.584893192461e+01,1.608666590348e+01
1.607866549053e-01,2.411799823579e-01,1.551047149810e+01,1.575165148046e+01
1.631172909228e-01,2.446759363842e-01,1.517923903249e+01,1.542391496888e+01
1.654817099943e-01,2.482225649915e-01,1.485508017173e+01,1.510330273672e+01
1.678804018123e-01,2.518206027184e-01,1.453784385608e+01,1.478966445880e+01
1.703138631672e-01,2.554707947508e-01,1.422738225176e+01,1.448285304651e+01
1.727825980508e-01,2.591738970762e-01,1.392355068204e+01,1.418272457911e+01
1.752871177602e-01,2.629306766403e-01,1.362620755981e+01,1.388913823645e+01
1.778279410039e-01,2.667419115058e-01,1.333521432163e+01,1.360195623314e+01
1.804055940092e-01,2.706083910138e-01,1.305043536313e+01,1.332104375414e+01
1.830206106311e-01,2.745309159467e-01,1.277173797581e+01,1.304626889176e+01
1.856735324631e-01,2.785102986946e-01,1.249899228524e+01,1.277750258394e+01
1.883649089490e-01,2.825473634235e-01,1.223207119050e+01,1.251461855392e+01
1.910952974970e-01,2.866429462456e-01,1.197085030496e+01,1.225749325120e+01
1.938652635952e-01,2.907978953928e-01,1.171520789832e+01,1.200600579371e+01
1.966753809283e-01,2.950130713925e-01,1.146502483987e+01,1.176003791127e+01
1.995262314969e-01,2.992893472453e-01,1.122018454302e+01,1.151947389026e+01
2.024184057376e-01,3.036276086064e-01,1.098057291089e+01,1.128420051950e+01
2.053525026457e-01,3.080287539686e-01,1.074607828321e+01,1.105410703718e+01
2.083291298990e-01,3.124936948485e-01,1.051659138426e+01,1.082908507911e+01
2.113489039837e-01,3.170233559755e-01,1.029200527194e+01,1.060902862792e+01
2.144124503220e-01,3.216186754830e-01,1.007221528795e+01,1.039383396344e+01
2.175204034020e-01,3.262806051029e-01,9.857119009006e+00,1.018339961411e+01
