branch,N,epsilon,sampleIndex,d,lambda,lambdaImaginary,cumulativeAction,fixedContourCount,phaseAnchorAbs,eigenResidualRelative,finiteCompressionOnly
viscous,40,0.001,0,0,0.16894375143319632,1.4367293214722181e-16,0,1,0.27356928016377946,2.8459304312765782e-16,true
viscous,40,0.001,1,3.4722222222222222e-05,0.16893220014484159,-4.5528683447921426e-17,5.8659019333410673e-06,1,0.27357744322976024,3.0844034821905221e-16,true
viscous,40,0.001,2,6.9444444444444444e-05,0.16892065016194802,-1.9030549012427945e-19,1.1731402802945724e-05,1,0.27358560712257041,2.9456979983781883e-16,true
viscous,40,0.001,3,0.00010416666666666666,0.16890910148432883,2.1333002525914384e-16,1.7596502654139241e-05,1,0.27359377184218586,2.7501352590771504e-16,true
viscous,40,0.001,4,0.00013888888888888889,0.16889755411179663,1.6585849446555078e-16,2.3461201532240404e-05,1,0.2736019373885773,2.4469271735880439e-16,true
viscous,40,0.001,5,0.00017361111111111112,0.16888600804415921,1.0959844376120575e-16,2.9325499482561395e-05,1,0.2736101037617239,1.892798032671055e-16,true
viscous,40,0.001,6,0.00020833333333333332,0.1688744632812296,-3.3414318155134076e-17,3.5189396550407797e-05,1,0.27361827096159547,2.3591460137277016e-16,true
viscous,40,0.001,7,0.00024305555555555555,0.16886291982281854,1.8478047643695661e-16,4.1052892781078699e-05,1,0.27362643898817196,2.9753672256120461e-16,true
viscous,40,0.001,8,0.00027777777777777778,0.1688513776687377,5.9798151693380202e-17,4.6915988219866615e-05,1,0.27363460784142507,2.4480077082935527e-16,true
viscous,40,0.001,9,0.00031250000000000001,0.16883983681879805,-7.466459732040662e-18,5.2778682912057499e-05,1,0.2736427775213307,2.6321812048275971e-16,true
viscous,40,0.001,10,0.00034722222222222224,0.16882829727281115,-4.5877193957842211e-17,5.864097690293075e-05,1,0.27365094802786261,2.6894420591230479e-16,true
viscous,40,0.001,11,0.00038194444444444446,0.16881675903058854,-1.1438857466669954e-16,6.4502870237759255e-05,1,0.27365911936099563,1.8988382323889921e-16,true
viscous,40,0.001,12,0.00041666666666666664,0.16880522209194063,2.1753301777687048e-18,7.0364362961809282e-05,1,0.27366729152070735,2.497135513323391e-16,true
viscous,40,0.001,13,0.00045138888888888887,0.16879368645667991,8.6066200469629169e-18,7.6225455120340621e-05,1,0.27367546450696589,3.5395721966310659e-16,true
viscous,40,0.001,14,0.0004861111111111111,0.16878215212461814,-1.6672801391310593e-16,8.2086146758606501e-05,1,0.27368363831975334,3.4130895701260738e-16,true
