N,saturationNormalGainSquaredExact,saturationNormalGainDecimal,saturationPlanarGainSquaredExact,saturationPlanarGainDecimal,halfLimitNormalGainSquaredExact,halfLimitNormalGainDecimal,halfLimitPlanarGainSquaredExact,halfLimitPlanarGainDecimal,classification
206,1/1,1,1/42437,0.0048543117366959751,1/2,0.70710678118654757,42849/170570,0.50120918452810903,exact all-index family presentation row
207,1/1,1,1/42850,0.0048308615039636994,1/2,0.70710678118654757,21632/86113,0.50120336419614853,exact all-index family presentation row
208,1/1,1,1/43265,0.0048076367463830679,1/2,0.70710678118654757,43681/173890,0.50119759962712118,exact all-index family presentation row
209,1/1,1,1/43682,0.0047846342276179118,1/2,0.70710678118654757,22050/87781,0.50119189002347808,exact all-index family presentation row
210,1/1,1,1/44101,0.0047618507729730308,1/2,0.70710678118654757,44521/177242,0.5011862346028072,exact all-index family presentation row
211,1/1,1,1/44522,0.0047392832679336088,1/2,0.70710678118654757,22472/89465,0.50118063259747625,exact all-index family presentation row
212,1/1,1,1/44945,0.0047169286567459593,1/2,0.70710678118654757,45369/180626,0.50117508325428484,exact all-index family presentation row
213,1/1,1,1/45370,0.0046947839410382492,1/2,0.70710678118654757,22898/91165,0.50116958583412774,exact all-index family presentation row
214,1/1,1,1/45797,0.0046728461784798919,1/2,0.70710678118654757,46225/184042,0.50116413961166573,exact all-index family presentation row
215,1/1,1,1/46226,0.0046511124814783448,1/2,0.70710678118654757,23328/92881,0.5011587438750077,exact all-index family presentation row
216,1/1,1,1/46657,0.0046295800159121105,1/2,0.70710678118654757,47089/187490,0.50115339792539915,exact all-index family presentation row
