replicate,index,xZone,yZone,xRole,yRole,pairClass,c0,c1,c2,c3
14,-4,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-4,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
14,-4,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.004743525931127176,-0.004226224832204181,0.022683027457789898,-0.013713276694458543
14,-4,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.0007333694022247021,-0.0014667388044494049,0.0007333694022247028
14,-4,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
14,-4,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-4,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,3.469446951953614e-18,-3.469446951953614e-18,0.0028414445385629705
14,-4,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,1.3877787807814457e-17,2.7755575615628914e-17,0.028142292038654898
14,-3,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-3,0,1,inner-core,inner-transition,inner-core--inner-transition,0.021958720599715653,-0.043917441199431306,0.02195872059971568,-2.7755575615628914e-17
14,-3,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-3,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
14,-3,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.007855886889566899,0.0007436495928721948,0.022080361482956307,-0.01496812418626161
14,-3,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.0013757651213982046,-0.0027515302427964065,0.0013757651213982024
14,-3,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
14,-3,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-3,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.10136224911694275
14,-3,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,5.551115123125783e-17,-8.326672684688674e-17,0.04654711137031184
14,-2,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-2,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0034261379585855227,-0.006852275917171047,0.003426137958585526,-3.469446951953614e-18
14,-2,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-2,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,1.559793786896881e-05,-1.499860626371094e-05,-1.3552527156068805e-20
14,-2,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.0005348989891666572,-0.002132901269193019,0.005870499505886011,-0.0032026992475263343
14,-2,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.002052079372790534,-0.004104158745581066,0.002052079372790532
14,-2,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,7.878152875741501e-05,0.0004947975991417778,0.0019056114741599853
14,-2,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-2,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.3322676295501878e-15,-2.6645352591003757e-15,1.0698588072225794
14,-2,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-5.551115123125783e-17,-8.881784197001252e-16,-0.3351058042410453
14,-1,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-1,0,1,inner-core,inner-transition,inner-core--inner-transition,-0.00014235247128529995,0.0002847049425705999,-0.00014235247128529995,1.0842021724855044e-19
14,-1,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-1,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.05152491611427948,-0.010151555263953504,0.0
14,-1,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0028224882621722455,-0.008102619919177519,0.007737775051838296,-0.0024576433948330263
14,-1,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-0.0006875545781471164,0.0013751091562942313,-0.0006875545781471151
14,-1,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.09433273182796287,0.09361549728741303,0.28476675341434743
14,-1,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-1,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.5543122344752192e-15,-2.6645352591003757e-15,1.0839020462453206
14,-1,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,5.551115123125783e-17,-8.881784197001252e-16,-0.1434204386485003
14,0,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,0,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0,0.0,0.0,0.0
14,0,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,0,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0019016167038671703,0.0004110145983420056,3.469446951953614e-18
14,0,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0,0.0,0.0,0.0
14,0,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-3.563553324210906e-05,7.127106648421813e-05,-3.563553324210908e-05
14,0,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,6.250998062571483e-05,-0.005229395335890175,0.02448629614142428
14,0,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,0,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,2.498001805406602e-16,-4.440892098500626e-16,0.18723073021339898
14,0,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,1.1102230246251565e-16,-7.771561172376096e-16,-0.06418579166445876
14,1,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,1,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0,0.0,0.0,0.0
14,1,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,1,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,-1.194993964907092e-08,-3.931121540898034e-10,1.3234889800848443e-23
14,1,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0,0.0,0.0,0.0
14,1,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.0,0.0,0.0
14,1,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-5.675274192247895e-06,2.0823284930123983e-06,-3.5416746672276364e-05
14,1,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,1,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,-1.0408340855860843e-17,6.938893903907228e-18,-0.008817990638876616
14,1,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-2.0816681711721685e-17,-2.7755575615628914e-17,-0.03048969482206093
15,-8,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
15,-8,0,1,inner-core,inner-transition,inner-core--inner-transition,7.847273650763234e-11,-1.569454730153406e-10,7.847273650782093e-11,-1.1280675603691915e-22
15,-8,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
15,-8,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
15,-8,1,1,inner-transition,inner-transition,inner-transition--inner-transition,5.341641666962998e-07,-1.5591398988976e-05,2.9580305477863062e-05,-1.4523070655583362e-05
15,-8,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-1.4633252960358566e-08,2.9266505920717142e-08,-1.463325296035858e-08
15,-8,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
15,-8,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
15,-8,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,0.0,0.0,0.0
15,-8,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-8.131516293641283e-20,3.2526065174565133e-19,-1.3063885040701669e-05
15,-7,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
15,-7,0,1,inner-core,inner-transition,inner-core--inner-transition,2.3393258380256324e-07,-4.678651676051424e-07,2.3393258380260282e-07,-2.371692252312041e-20
15,-7,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
15,-7,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
15,-7,1,1,inner-transition,inner-transition,inner-transition--inner-transition,1.4515189160481745e-05,-6.549682666556539e-07,-4.22356309481341e-05,2.8375410054308026e-05
15,-7,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-9.003381099384865e-06,1.8006762198769726e-05,-9.00338109938486e-06
15,-7,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
