mOverR,sOverM,operatorNormOverTargetFrequency,stretchEntryOverTargetFrequency
0.10,0.05011872336272725,0.9999999685327571,0.04980685819349715
0.10,0.05308844442309885,0.9999999603974381,0.05274995706507851
0.10,0.05623413251903491,0.9999999501607615,0.05586591522316557
0.10,0.05956621435290103,0.9999999372807223,0.05916468832155154
0.10,0.06309573444801933,0.9999999210758365,0.06265676835917687
0.10,0.06683439175686148,0.9999999006893753,0.0663532055348154
0.10,0.0707945784384138,0.9999998750444878,0.07026562958217335
0.10,0.07498942093324558,0.9999998427879038,0.07440627023108165
0.10,0.07943282347242814,0.999999802219343,0.07878797636449969
0.10,0.08413951416451952,0.9999997512030501,0.08342423335215798
0.10,0.08912509381337459,0.9999996870569846,0.08832917793809762
0.10,0.09440608762859236,0.9999996064141087,0.09351760993926561
0.10,0.1,0.9999995050488678,0.09900499987379327
0.10,0.1059253725177289,0.9999993776602958,0.1048074914787272
0.10,0.1122018454301964,0.9999992176011362,0.1109418978960418
0.10,0.1188502227437018,0.9999990165398731,0.1174256901012644
0.10,0.1258925411794168,0.9999987640395088,0.124276975920016
0.10,0.1333521432163324,0.9999984470332153,0.1315144677240442
0.10,0.1412537544622755,0.9999980491725043,0.1391574366209212
0.10,0.1496235656094433,0.9999975500181479,0.1472256506531997
0.10,0.1584893192461114,0.9999969240376197,0.1557392942085397
0.10,0.1678804018122561,0.999996139365151,0.1647188655202862
0.10,0.1778279410038923,0.9999951562714477,0.1741850488205025
0.10,0.1883649089489801,0.9999939252795593,0.1841585574119936
0.10,0.199526231496888,0.9999923848512208,0.1946599436763835
0.10,0.2113489039836648,0.9999904585541327,0.2057093718636057
0.10,0.223872113856834,0.9999880516051464,0.2173263494551906
0.10,0.2371373705661655,0.9999850466673209,0.2295294130107355
0.10,0.2511886431509581,0.999981298760658,0.2423357647561448
0.10,0.266072505979881,0.9999766291275628,0.2557608568267264
0.10,0.2818382931264455,0.9999708178755943,0.2698179211204543
0.10,0.298538261891796,0.9999635952031023,0.2845174442350478
0.10,0.3162277660168379,0.9999546309995281,0.2998665890452107
0.10,0.3349654391578278,0.9999435226035875,0.3158685672018702
0.10,0.3548133892335755,0.9999297805017324,0.3325219702586952
0.10,0.3758374042884443,0.9999128117589793,0.3498200712661399
0.10,0.3981071705534973,0.9998919009973338,0.3677501134696844
0.10,0.4216965034285822,0.9998661887761334,0.3862926080679997
